MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
657.047,301.909,50.0349,0.663897,-2.88909,1.3675e-05,0.0088104,4.2126,0.0010403,0.020386,0.00044011,0.010721,0.00033075
492.637,205.913,225.975,0.2915,-2.21557,4.8528e-05,0.035777,0.051564,0.0016127,0.013781,0.00071424,0.0068243,0.0013542
605.331,239.539,189.275,2.94294,0.819811,1.8937e-06,0.0096199,0.095559,0.00094628,0.014053,0.00039496,0.0069699,0.00056867
427.982,164.894,586.085,8.38726,-4.14129,0.00038742,0.16464,0.0001649,0.00038948,0.0011717,0.00014955,0.00050168,0.0026764
60.0426,657.707,998.684,6.5709,4.94304,9.7475,0.00024043,8.9284e-05,0.00015765,3.0339e-05,5.856e-05,1.0317e-05,0.00076334
711.272,696.109,109.534,11.5733,3.92267,1.5188e-05,1.4657e-05,1.2702,0.00065506,0.0007214,0.0002682,0.00029848,5.2282e-05
183.526,710.703,316.914,8.6444,4.20948,0.037303,0.00014067,0.0092865,0.0073994,0.00032752,0.0035017,0.000127,0.00038277
566.55,180.567,174.726,5.32545,0.0582296,1.442e-08,0.05066,0.14588,0.001268,0.028362,0.00054261,0.014971,0.00094074
657.703,312.957,383.746,4.30189,-3.08087,1.5647e-05,0.0093643,0.0061909,0.00033226,0.0020182,0.00012641,0.00089217,0.00031491
531.203,451.78,739.244,5.34289,-2.0285,2.5778e-05,0.00018218,5.2004e-05,0.00012712,0.00017231,4.7664e-05,6.5038e-05,0.00032493
227.016,733.55,233.302,9.87441,-1.65477,0.0019222,3.2162e-05,0.011893,0.010776,0.00039918,0.0052918,0.00015586,0.00029242
419.195,556.599,76.8018,4.90435,0.567134,8.1529e-06,3.6658e-05,3.6374,0.0057283,0.0019379,0.0027012,0.00086517,0.00033323
609.678,752.546,249.595,5.54201,4.8432,6.3177e-05,4.4376e-05,0.0066817,0.00072568,0.00033876,0.00030563,0.00013195,6.2229e-05
925.391,995.577,205.892,12.33,0.852898,1.1547e-07,8.4656e-07,0.37649,0.000165,0.00011971,6.3784e-05,4.3946e-05,8.6062e-06
816.086,266.997,343.419,8.85858,-2.75303,2.9443e-06,0.046545,0.023378,0.00017981,0.0035226,6.9208e-05,0.0015885,0.00016548
852.22,103.906,447.035,1.4479,-3.42806,3.395e-06,9.6894,0.0056909,0.00010724,0.0040733,3.9382e-05,0.0018619,0.0002195
599.747,801.262,668.567,7.58292,6.24355,0.00011655,5.3035e-05,0.0002502,0.0001306,6.032e-05,4.9008e-05,2.1366e-05,5.2713e-05
484.944,936.112,446.769,8.08077,5.47238,0.00032533,3.695e-05,0.0013878,0.00058372,7.4717e-05,0.00023344,2.7088e-05,4.5704e-05
849.37,672.507,658.61,5.33124,0.546716,8.814e-08,2.1854e-05,0.00013889,5.2144e-05,0.00010102,1.8305e-05,3.7002e-05,3.3845e-05
482.086,251.958,627.34,9.14987,-3.47378,0.00013576,0.015806,0.00010846,0.00025023,0.00065826,9.5749e-05,0.00026965,0.0011584
268.288,111.337,121.076,12.18,-2.12498,0.0013204,0.27409,0.44592,0.018454,0.13283,0.0094708,0.07723,0.016425
882.493,720.097,699.199,11.4871,-1.02397,2.3531e-07,2.5578e-05,0.00013409,4.0794e-05,7.2482e-05,1.3891e-05,2.5825e-05,2.5045e-05
832.192,758.557,676.983,10.2548,-4.77932,7.7804e-06,2.9171e-05,0.00027478,5.2145e-05,6.8266e-05,1.8301e-05,2.4501e-05,2.6312e-05
702.291,713.312,636.306,4.4986,-1.7126,3.1524e-06,2.0415e-06,0.00013937,9.9305e-05,9.3817e-05,3.6107e-05,3.4215e-05,5.065e-05
972.023,76.1489,416.82,3.18155,-3.64922,1.4624e-06,118.72,0.014804,7.2083e-05,0.0058411,2.5814e-05,0.0027651,0.00012289
965.649,461.691,271.918,0.865668,3.14349,1.1394e-06,0.0011108,0.071268,0.00011476,0.001565,4.302e-05,0.00067801,4.3731e-05
298.323,875.72,403.278,3.90204,5.39032,0.0048065,6.4704e-05,0.0036319,0.001939,0.00011297,0.00087503,4.1556e-05,0.00011103
770.952,868.647,329.813,9.73184,0.295965,5.0876e-08,2.154e-06,0.013643,0.00023261,0.00014867,8.891e-05,5.5736e-05,2.2138e-05
532.196,662.032,865.052,4.12496,3.59119,7.9885e-05,6.0323e-05,8.262e-05,7.6001e-05,4.8573e-05,2.7249e-05,1.6797e-05,0.00012299
679.444,324.792,597.281,8.24872,-4.34329,2.5247e-05,0.010797,0.00036227,0.00012614,0.00057135,4.7235e-05,0.00022798,0.00026767
199.542,667.567,478.168,6.89016,0.998077,0.0013643,8.9451e-05,0.00080371,0.0020208,0.00021361,0.0008844,8.1206e-05,0.00046353
263.824,112.555,550.988,5.13071,2.66516,0.0022699,0.079632,0.00062792,0.00095442,0.0017899,0.00039615,0.00079304,0.017095
588.324,682.102,955.537,3.22795,-2.10174,1.4804e-05,2.4542e-08,2.2941e-05,4.4958e-05,3.268e-05,1.5598e-05,1.1174e-05,8.9789e-05
532.289,461.173,936.227,0.538906,-4.8174,0.0001436,0.00052612,1.8235e-05,5.715e-05,7.1733e-05,2.0282e-05,2.5653e-05,0.00030914
241.055,73.4495,879.961,9.15332,-1.40024,0.0010067,2.2944,6.5334e-05,0.00018537,0.00028095,7.1975e-05,0.00010847,0.031248
264.231,92.8229,308.369,4.1233,2.60806,0.002156,0.2077,0.0053489,0.004541,0.014767,0.0020831,0.0075128,0.019957
848.264,892.789,97.8521,4.2414,-3.2432,3.1304e-06,7.9177e-07,27.04,0.00031535,0.00025039,0.00012698,9.6463e-05,1.5592e-05
382.304,857.795,260.776,2.85991,-4.77946,0.00097522,6.7505e-06,0.030561,0.0027631,0.00019515,0.0012322,7.3399e-05,9.0808e-05
937.049,719.981,55.0452,4.17505,5.06088,3.6747e-06,6.9516e-07,3.7129,0.00021512,0.00069688,8.1407e-05,0.00029236,2.0559e-05
828.84,188.456,468.158,10.8253,4.10714,5.8883e-06,0.08166,0.00079219,0.00010994,0.0022857,4.0352e-05,0.0010263,0.00019968
596.678,585.878,714.853,0.468767,5.95074,0.00010935,0.00011096,0.00019277,0.00011002,0.00011481,4.0198e-05,4.2037e-05,0.00013045
727.12,456.742,557.077,6.20435,1.48264,1.8805e-06,0.00022423,0.00023438,0.00012119,0.00038765,4.529e-05,0.00015141,0.00012455
316.101,278.965,511.15,3.44995,2.80865,0.00095507,0.0014004,0.00076777,0.00093928,0.0011273,0.00038908,0.00047548,0.0030299
353.204,454.118,62.4734,5.58714,-2.53557,0.00042661,2.2801e-05,88.128,0.011154,0.0045197,0.0055742,0.0020845,0.00079855
715.639,921.846,549.285,1.26984,2.25904,4.8401e-06,1.0005e-05,0.00022126,0.00013094,5.6809e-05,4.916e-05,2.0321e-05,2.208e-05
92.8006,251.825,592.762,12.4519,0.55562,0.025766,0.00086162,0.00038887,0.0014365,0.00079433,0.00061957,0.0003318,0.023164
56.2356,932.218,199.205,4.08782,1.96532,11.485,3.9683e-05,0.033936,0.077039,0.00016354,0.044296,6.1033e-05,0.00015503
563.862,468.055,312.98,2.9659,-3.45723,5.2261e-05,0.00034915,0.015575,0.00071182,0.0012259,0.00029864,0.00051963,0.00025639
545.154,532.827,531.876,4.45778,-2.69664,3.9098e-05,5.2665e-05,0.00034755,0.00029629,0.00031026,0.00011272,0.00011923,0.00020688
113.451,619.515,785.317,1.63748,-4.58516,0.55156,5.7327e-06,6.0377e-05,0.00043417,7.5719e-05,0.00017558,2.7066e-05,0.00085113
971.594,339.625,102.849,10.0092,0.594299,3.8915e-08,0.014151,19.863,0.00016999,0.010191,6.2915e-05,0.0050406,6.2944e-05
621.339,537.183,329.798,8.59134,-3.01829,2.1603e-05,0.0001262,0.013286,0.00049603,0.00077104,0.00019687,0.00031785,0.00014407
397.265,892.011,143.125,11.3744,1.91393,0.00012595,3.1391e-05,0.057347,0.0049149,0.00022837,0.0022766,8.7287e-05,7.4066e-05
105.849,337.952,206.92,4.63797,3.44628,0.4579,0.0022519,0.049029,0.042565,0.0054336,0.023609,0.0025151,0.0082858
272.448,893.396,701.318,4.03129,-1.51565,0.00061914,2.2254e-05,0.00012169,0.00041183,3.8273e-05,0.00015978,1.3229e-05,0.00011098
299.158,135.93,538.348,1.3528,0.17449,4.9616e-06,0.0098022,0.00036773,0.0008729,0.0017872,0.00037136,0.00079026,0.0098791
974.149,867.226,940.707,4.18017,3.59327,1.3937e-06,2.9724e-08,1.2516e-05,1.3158e-05,1.8675e-05,4.3498e-06,6.2892e-06,1.1076e-05
722.451,332.93,689.03,2.68823,-2.92572,7.6654e-06,0.0085136,9.7839e-05,7.5152e-05,0.00034296,2.694e-05,0.00013328,0.00020622
324.101,161.6,388.941,9.09897,6.00852,0.0038163,0.089775,0.0045982,0.0018286,0.0048157,0.00082335,0.0022152,0.006497
418.997,601.802,743.27,7.52081,4.02662,0.0004121,0.00014773,0.00019813,0.00019066,9.4894e-05,7.3439e-05,3.4644e-05,0.0002656
815.896,362.241,391.274,1.30525,5.8139,1.3153e-05,0.0005087,0.0015227,0.00015241,0.0014705,5.7944e-05,0.00063003,0.00011815
982.95,472.956,831.853,8.66486,-2.77634,7.7632e-07,0.0028637,5.8154e-05,1.8316e-05,0.0001073,6.0397e-06,3.9225e-05,3.9388e-05
875.235,884.804,625.561,2.5727,-0.221509,1.168e-08,7.0107e-10,0.00029465,5.2819e-05,5.1125e-05,1.8636e-05,1.777e-05,1.4585e-05
909.529,525.725,574.494,3.0468,3.98484,2.8844e-06,0.00017486,0.00030434,5.5107e-05,0.00026515,1.9486e-05,0.00010085,4.4335e-05
848.69,345.091,437.849,1.85381,-0.229687,1.5645e-08,0.0078169,0.0037788,0.00011238,0.0012351,4.1895e-05,0.00052362,0.00010778
145.595,704.639,409.338,3.48928,-0.482091,0.0016281,5.6148e-05,0.0010325,0.0044051,0.00023715,0.0020283,8.9802e-05,0.00045045
652.166,802.184,357.702,11.6387,0.102928,1.8431e-08,6.0678e-06,0.0043413,0.00037942,0.00018307,0.00014567,6.9223e-05,4.3472e-05
834.482,144.182,573.502,1.55145,-0.325691,3.5407e-08,0.95458,0.00048902,7.4133e-05,0.0013704,2.6585e-05,0.00059528,0.00021954
281.501,146.033,668.087,3.00416,-1.06639,0.00025919,0.027764,0.00014989,0.00047269,0.00076485,0.00018757,0.00031673,0.010891
387.557,610.624,642.041,6.82634,2.3661,0.00022134,9.735e-05,0.0002665,0.00035277,0.00013985,0.00013474,5.1817e-05,0.00029213
261.922,647.392,975.158,11.285,-4.87236,0.0078817,1.4989e-06,2.8815e-05,0.00011312,3.4209e-05,4.2403e-05,1.1688e-05,0.00041046
841.908,758.665,581.574,3.56017,-0.662171,1.3756e-07,5.1961e-06,0.00048702,7.002e-05,9.62e-05,2.502e-05,3.5161e-05,2.5386e-05
554.131,460.369,854.572,3.19995,-1.28311,8.0385e-06,0.00012079,3.7444e-05,7.3277e-05,0.00010018,2.6272e-05,3.7176e-05,0.00027852
818.22,366.382,399.407,11.7235,-0.863153,2.8466e-07,0.0049771,0.0066824,0.00014661,0.0013716,5.56e-05,0.00058497,0.00011516
569.002,783.066,310.713,1.44152,-3.19831,4.2446e-05,1.2997e-06,0.01565,0.00069923,0.00023612,0.00029304,8.9654e-05,6.4038e-05
801.104,792.876,693.968,10.688,-1.55788,1.0754e-06,1.5079e-06,0.00010301,5.4913e-05,5.64e-05,1.9398e-05,2.0065e-05,2.6052e-05
99.2019,873.198,961.249,7.63238,0.321,0.0057653,3.9011e-05,6.6033e-05,0.00017985,1.7199e-05,6.6832e-05,5.7299e-06,0.00019789
709.812,946.392,620.713,4.25738,4.91128,2.4178e-05,1.6902e-05,0.00015343,0.00010236,4.1373e-05,3.7265e-05,1.4313e-05,2.0563e-05
154.851,879.803,593.681,9.21294,2.83135,0.040402,5.2029e-05,0.00057343,0.0011551,5.7686e-05,0.00049158,2.0573e-05,0.00016809
316.935,753.889,116.869,2.43251,3.13447,0.0011727,7.8447e-05,0.24376,0.011664,0.0005099,0.0057904,0.00020466,0.0001876
89.1299,472.302,308.28,5.57227,3.00783,0.9726,0.00054982,0.0083246,0.015243,0.0012249,0.0077473,0.00051918,0.0027237
614.367,778.878,460.327,11.5455,1.77795,8.1266e-06,1.6706e-05,0.00050343,0.00029484,0.00014038,0.0001122,5.2417e-05,5.5003e-05
374.517,646.718,577.345,0.799882,-2.78889,0.00037214,5.8888e-06,0.00016255,0.00051263,0.00015687,0.00020352,5.8792e-05,0.00025726
857.995,711.393,616.861,3.13443,-5.53154,8.3579e-06,8.5364e-05,0.00076367,5.8093e-05,0.00010175,2.06e-05,3.7298e-05,2.8345e-05
517.871,924.236,438.252,0.907503,0.283633,5.9224e-07,1.5782e-05,0.00063572,0.00051695,8.0634e-05,0.00020639,2.9376e-05,4.2909e-05
175.558,932.862,177.7,12.0336,1.53605,0.0062384,3.5387e-05,0.036459,0.029098,0.00017222,0.015472,6.4534e-05,0.00012129
847.599,73.8943,695.152,2.23691,6.1171,1.1199e-05,13.412,7.2938e-05,4.6874e-05,0.00078255,1.6275e-05,0.00033031,0.00023553
671.814,782.109,672.005,6.9466,1.28399,2.3717e-06,8.1287e-06,7.827e-05,9.8716e-05,6.4064e-05,3.5419e-05,2.2744e-05,4.3713e-05
331.971,835.591,364.105,10.7372,4.87401,0.0022165,6.9775e-05,0.0044556,0.0020327,0.00015387,0.00091999,5.7702e-05,0.00011975
369.086,759.185,142.521,1.82092,-0.0653104,2.2054e-07,3.2733e-05,0.11685,0.0062145,0.00046262,0.0029154,0.00018629,0.00015044
237.735,840.021,719.854,11.6663,-0.646737,0.00023091,3.2418e-05,0.00014052,0.00042381,4.3751e-05,0.00016803,1.5159e-05,0.00016061
824.27,858.524,245.161,2.74011,-4.76188,8.231e-06,3.9798e-06,0.21962,0.00024429,0.00020405,9.1776e-05,7.6949e-05,1.9076e-05
902.054,568.256,395.452,12.5444,-0.000905634,1.5835e-13,0.00026965,0.009298,0.00010325,0.00048231,3.8172e-05,0.00019187,3.9589e-05
468.314,161.399,813.747,8.03962,-6.17062,0.00050806,0.35721,2.641e-05,0.00011708,0.00032823,4.3734e-05,0.00012706,0.0020087
467.702,306.278,197.84,3.14129,1.54819,3.2229e-05,3.7382e-05,0.022089,0.0021862,0.0074382,0.00096207,0.0035153,0.0009531
723.408,484.805,310.509,8.64295,-5.25998,2.4559e-05,0.0010987,0.043462,0.00032049,0.0011262,0.00012195,0.00047484,0.00011357
748.686,317.764,115.924,6.0622,-3.20959,7.2575e-06,0.013571,7.0271,0.00052164,0.011578,0.0002167,0.0057673,0.00019193
306.398,897.285,500.562,5.18597,0.362387,1.8817e-05,2.8931e-05,0.0004796,0.0010455,7.37e-05,0.00043616,2.6364e-05,9.7961e-05
752.474,65.1383,710.952,12.346,-5.86181,2.3474e-05,497.37,0.00014867,6.1843e-05,0.00072331,2.1984e-05,0.00030392,0.00041698
182.469,599.777,206.113,11.7206,-1.03442,0.0023203,5.6566e-05,0.015844,0.020399,0.00092164,0.010516,0.00038474,0.00075068
375.506,821.641,846.853,1.11719,-5.92843,0.0016571,3.1051e-06,2.7945e-05,0.00014028,3.0129e-05,5.3109e-05,1.0224e-05,0.00010974
687.486,580.745,743.819,5.44213,3.12987,1.211e-05,2.8963e-06,7.1832e-05,6.9747e-05,0.00010242,2.4904e-05,3.7926e-05,9.0472e-05
600.722,735.519,764.647,1.40132,3.61827,3.8747e-05,3.3791e-05,0.00010094,8.8893e-05,5.4314e-05,3.2009e-05,1.8911e-05,6.8999e-05
226.899,677.722,694.189,11.2184,-1.35011,0.0012831,3.9644e-05,0.0001386,0.00049944,8.6174e-05,0.00020204,3.1329e-05,0.0003978
528.477,580.73,939.906,6.17303,-5.23559,0.00017705,6.5949e-05,1.7082e-05,5.7045e-05,4.8212e-05,2.0245e-05,1.6686e-05,0.00018002
118.605,304.22,668.533,6.90102,-1.9498,0.078361,6.332e-05,0.00015529,0.00082454,0.00042558,0.00034229,0.00016828,0.010645
507.448,384.742,248.042,6.27381,2.16961,3.9145e-05,5.3839e-06,0.0077974,0.0013256,0.0029337,0.0005652,0.0013352,0.00050338
363.676,525.204,64.6729,1.87612,-2.27352,0.00029014,6.0756e-08,101.21,0.0099558,0.0025478,0.0049406,0.0011405,0.0005068
535.996,207.312,95.7535,1.03377,2.80344,4.6624e-05,0.0017059,0.66921,0.0021154,0.046531,0.00093142,0.025555,0.001018
869.707,401.275,435.788,2.27795,-1.25028,3.8697e-07,0.0039143,0.0051917,0.00010349,0.00093084,3.7952e-05,0.00039105,8.062e-05
