MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
1499.98,2173.78,707.701,9.02697,-1.9078,1.0237e-08,7.3608e-08,0.0020061,4.7591e-06,5.9712e-07,1.479e-06,1.8022e-07,5.6896e-08
794.523,381.685,1646.29,9.81133,-4.89515,1.1251e-05,0.0071326,2.145e-06,2.4066e-06,6.4088e-06,7.2548e-07,2.0723e-06,0.00012161
1408.02,1837.1,1544.91,0.547678,-2.37013,2.8752e-08,1.4669e-07,3.9588e-07,6.3506e-07,1.9932e-07,1.8586e-07,5.7263e-08,1.7921e-07
912.621,650.449,194.911,6.12454,-6.14805,6.6328e-06,0.00029299,1.1446,0.00018062,0.00071575,6.8452e-05,0.00029763,2.8552e-05
855.954,246.845,685.109,2.02121,-1.71409,8.211e-07,0.07352,0.00015881,4.7064e-05,0.00049073,1.6345e-05,0.00019734,0.00014463
2152.93,2936.57,2258.17,5.96372,-5.97531,1.8458e-09,1.6736e-09,8.1956e-09,1.3668e-08,1.8816e-09,3.7422e-09,5.0871e-10,1.5761e-09
79.8813,2165.38,2663.89,1.27324,-5.02362,5.7859,2.6594e-07,6.2848e-08,3.634e-07,4.7607e-09,1.1554e-07,1.2952e-09,1.1169e-06
1503.02,1948.46,2900.44,12.4937,-3.13125,2.7118e-08,8.7179e-08,1.1495e-08,1.252e-08,4.4052e-09,3.5145e-09,1.1997e-09,1.0298e-07
1498.33,2917.73,600.276,0.771928,2.80568,2.238e-08,5.8987e-09,0.0048723,6.2667e-06,8.6116e-08,2.021e-06,2.5575e-08,7.8829e-09
2948.64,1249.73,1049.11,5.59542,-0.778182,2.6235e-13,0.0002067,0.0019497,3.0919e-08,4.0038e-06,8.9851e-09,1.2632e-06,1.2799e-08
1637.06,2083.8,1088.25,2.90253,-2.89431,9.9553e-09,4.8325e-08,7.4288e-05,1.1498e-06,3.1955e-07,3.424e-07,9.3001e-08,5.148e-08
1242.96,1167.59,505.854,6.63078,-3.70909,2.1078e-07,1.1598e-06,0.010858,1.9701e-05,2.587e-05,6.5928e-06,8.8037e-06,1.8808e-06
654.774,178.565,2558.12,6.74514,1.76192,5.2645e-06,0.055615,9.9849e-08,2.1557e-07,4.6475e-07,6.46e-08,1.4403e-07,0.00054178
2707.95,1698.49,1079.71,3.1614,6.16572,7.1691e-11,3.7168e-06,0.00089939,5.6477e-08,9.807e-07,1.6234e-08,2.9575e-07,8.5272e-09
514.228,92.729,225.789,1.65004,0.162236,2.0211e-07,1.3467,0.026225,0.001413,0.037767,0.00060545,0.020513,0.0019343
329.995,2873.94,1714.36,5.41978,3.64495,0.0012788,1.3051e-08,3.8782e-06,5.5961e-06,8.2926e-09,1.8299e-06,2.2485e-09,9.5056e-08
1516.42,1778.97,1326.82,10.1562,1.35843,4.7144e-09,1.2216e-07,2.0408e-06,8.5534e-07,4.1017e-07,2.5215e-07,1.1992e-07,1.5687e-07
299.21,1679.73,1817.13,6.85034,-0.866257,0.00012217,1.7658e-06,2.1991e-06,4.1811e-06,1.4866e-07,1.3544e-06,4.1612e-08,4.4178e-06
1243.54,1728.01,2185.01,10.4223,0.304694,1.4168e-09,3.8824e-07,2.5627e-07,1.6194e-07,4.9461e-08,4.7219e-08,1.3851e-08,3.7339e-07
2653.45,595.097,2413.55,2.12371,-4.89722,6.1584e-11,0.041659,1.7507e-08,2.6423e-09,3.7174e-07,7.0341e-10,1.1222e-07,1.1554e-07
154.446,2275.31,2873.24,4.81274,-3.49735,0.062482,1.7041e-07,2.4606e-08,1.8442e-07,2.134e-09,5.8746e-08,5.7713e-10,7.3593e-07
2945.91,2681.54,467.838,6.37358,-1.7691,1.3885e-12,1.5461e-09,0.53635,9.8157e-08,2.1378e-07,2.9962e-08,6.479e-08,4.344e-10
232.977,468.398,1801.62,8.8552,-3.49605,0.0074987,8.0126e-06,2.16e-06,4.9088e-06,3.1843e-06,1.6141e-06,1.0088e-06,0.0013878
1582.92,2281.38,843.601,3.52278,5.23431,4.6323e-08,6.1092e-08,0.00038529,2.5775e-06,3.205e-07,7.782e-07,9.5089e-08,3.4854e-08
573.36,2873.38,815.119,4.70907,-3.93549,6.1302e-05,1.1051e-08,2.7152e-05,8.0271e-05,6.3496e-08,2.8787e-05,1.8598e-08,6.3457e-08
2895.13,1080.92,680.591,11.2171,-1.7388,1.8286e-12,0.00071557,0.046292,7.6602e-08,2.1007e-05,2.3045e-08,7.072e-06,2.1501e-08
1167.99,2239.44,736.399,4.5957,2.70292,1.9147e-07,1.2203e-07,0.00023106,1.3023e-05,4.6153e-07,4.3137e-06,1.3851e-07,1.0642e-07
2882.79,2290.53,1121.69,3.90789,2.48957,3.9973e-12,5.3496e-08,0.00093836,3.1507e-08,1.6453e-07,9.1239e-09,4.7654e-08,1.3013e-09
2256.64,712.838,1467.72,5.06584,4.74239,6.2292e-10,0.0048639,1.3846e-05,7.8017e-08,5.2216e-06,2.1867e-08,1.6685e-06,2.919e-07
934.246,2467.9,1984.8,8.5229,2.6361,1.0292e-06,6.3971e-08,8.3844e-07,6.1568e-07,1.2432e-08,1.8211e-07,3.3735e-09,9.636e-08
1412.56,706.49,2206.08,3.58556,2.81499,3.9477e-08,0.00048725,1.9969e-07,1.0133e-07,5.4329e-07,2.8893e-08,1.6405e-07,4.0725e-06
2850.39,2720.74,1463.17,11.8507,-0.718763,4.1136e-13,2.8421e-10,7.1663e-05,1.568e-08,2.2557e-08,4.4184e-09,6.3026e-09,4.9616e-10
932.093,1504.91,2614.76,7.82399,-0.279468,1.1765e-08,1.4081e-06,6.5388e-08,9.998e-08,2.7354e-08,2.9201e-08,7.5734e-09,1.6433e-06
295.169,707.193,252.92,7.99204,-5.49355,0.0053394,1.7611e-06,0.033922,0.0054043,0.00042701,0.0025098,0.00016746,0.00026073
1481.38,1055.44,2668.1,6.25046,-4.34177,6.0469e-08,2.8933e-05,2.9553e-08,2.4875e-08,6.7037e-08,6.9064e-09,1.9174e-08,1.2604e-06
1147.12,973.056,2580.94,6.85586,5.57359,9.4363e-07,2.9041e-08,7.2623e-08,6.9143e-08,1.0327e-07,1.9671e-08,2.9843e-08,4.4545e-06
2316.99,2846.85,2672.98,4.21858,-5.40637,5.6207e-10,1.2791e-09,3.6836e-09,3.2194e-09,8.5918e-10,8.535e-10,2.2904e-10,1.3392e-09
2673.22,443.405,2641.59,9.03142,1.70457,6.6379e-12,0.2355,1.2035e-09,1.4488e-09,2.5086e-07,3.7676e-10,7.6469e-08,1.4385e-07
1806.2,2402.33,2424.67,1.60279,-5.63089,1.3423e-08,1.4835e-08,3.25e-08,2.1181e-08,4.8423e-09,5.8669e-09,1.3174e-09,1.4576e-08
2661.86,1931.13,2673.35,10.7445,-2.76556,1.8704e-11,6.7333e-07,1.0403e-09,1.383e-09,8.2927e-09,3.5826e-10,2.2501e-09,5.4819e-09
2937.35,2011.01,1807.05,5.6637,-1.44732,9.7575e-13,7.1609e-07,6.7879e-06,5.5403e-09,6.3728e-08,1.5337e-09,1.7869e-08,2.2126e-09
1417.7,121.978,2209.54,2.55805,1.35959,8.8705e-09,17.211,1.8509e-07,9.8846e-08,1.4466e-06,2.8253e-08,4.6691e-07,1.5847e-05
2924.77,1170.03,1862.53,5.56974,-1.39028,9.7107e-13,0.00036512,4.3936e-06,5.0328e-09,4.8519e-07,1.3771e-09,1.4337e-07,1.6265e-08
509.722,1451.76,738.86,12.2135,-1.83007,2.7115e-05,3.1164e-06,5.6666e-05,0.00013803,5.0583e-06,5.2029e-05,1.6364e-06,6.1092e-06
314.036,2189.84,2542.41,12.2359,4.6821,0.00275,2.9863e-07,1.2532e-07,4.1216e-07,6.1538e-09,1.2717e-07,1.6617e-09,7.7825e-07
762.954,792.504,910.287,7.87502,-0.937855,5.4148e-07,1.5516e-08,1.6634e-05,2.949e-05,2.669e-05,9.9695e-06,9.0405e-06,3.0027e-05
796.871,2631.26,774.571,10.663,3.31652,5.0632e-06,3.473e-08,4.2037e-05,4.2401e-05,1.3697e-07,1.4676e-05,4.0665e-08,8.1707e-08
2538.2,2305.57,564.539,4.10807,1.38675,1.0102e-11,6.2711e-09,0.086641,2.7365e-07,5.4275e-07,8.1365e-08,1.657e-07,2.9766e-09
1694.67,876.28,2007.89,0.883666,-4.59109,1.7646e-08,0.00036216,8.0865e-08,8.5037e-08,6.6242e-07,2.4184e-08,1.9849e-07,1.0677e-06
1527.1,1173.58,2511.57,12.2208,-0.800506,1.5164e-09,6.9259e-06,5.358e-08,3.3436e-08,7.8922e-08,9.4694e-09,2.2502e-08,7.9482e-07
2435.6,1007.2,449.665,2.69355,-5.24,2.6283e-10,0.00063119,0.33784,4.5688e-07,5.6487e-05,1.3877e-07,2.0044e-05,8.9622e-08
1705.34,2264.17,1327.66,7.70837,3.71975,1.0773e-08,4.3068e-08,5.0524e-06,5.0438e-07,1.0871e-07,1.4802e-07,3.0707e-08,2.6966e-08
837.411,227.983,1304.63,8.40114,1.79702,1.0522e-06,0.055083,8.0406e-06,6.2307e-06,3.0788e-05,1.9875e-06,1.0619e-05,0.00016783
1373.29,2056.6,1400.41,3.12262,4.03076,1.0414e-07,1.6745e-07,9.9379e-07,1.0413e-06,1.5962e-07,3.0881e-07,4.5592e-08,1.0636e-07
214.471,2100.81,454.628,3.88798,2.99511,0.0083811,3.8639e-07,0.0015184,0.0021953,1.262e-06,0.00096516,3.9164e-07,1.1975e-06
2204.14,974.466,1292.68,2.56798,4.90227,9.1613e-10,0.00037711,5.1565e-05,1.3677e-07,4.4004e-06,3.9534e-08,1.3864e-06,1.8797e-07
1493.34,787.171,1658.15,5.32839,1.48614,6.5748e-09,0.00031658,3.8615e-07,3.694e-07,2.3639e-06,1.0594e-07,7.324e-07,2.5089e-06
1208.29,953.759,723.417,4.27313,3.94653,3.0774e-07,3.2504e-06,0.00028485,1.1808e-05,2.8776e-05,3.9001e-06,9.7611e-06,3.9024e-06
1716.45,1337.81,2672.64,6.20848,1.2299,1.093e-09,2.5662e-06,2.4124e-08,1.3748e-08,3.4878e-08,3.8429e-09,9.8016e-09,3.0024e-07
544.673,2066.29,2950.7,8.61022,2.25252,2.7428e-05,4.0628e-07,1.7556e-08,8.5043e-08,2.9002e-09,2.5857e-08,7.8696e-10,7.4048e-07
2548.9,1026.28,433.328,1.25789,-0.763524,2.8714e-12,0.00060181,0.4609,3.362e-07,5.503e-05,1.0169e-07,1.9518e-05,6.2947e-08
2706.63,693.8,108.588,8.53635,-0.107652,2.2302e-14,0.015005,964.17,3.1344e-07,0.00073333,9.9341e-08,0.00030372,8.2148e-08
1768.16,771.272,1940.32,11.3788,5.26701,1.4634e-08,0.00076948,1.328e-07,8.4835e-08,1.0343e-06,2.3827e-08,3.0789e-07,1.1102e-06
1800.83,2952.02,2021.81,0.378848,2.78852,3.4144e-09,3.7514e-09,8.9882e-08,6.2115e-08,3.231e-09,1.7479e-08,8.6909e-10,3.5047e-09
2424.96,2890.57,279.414,3.3513,-4.5382,2.1309e-10,8.1364e-10,4.7743,6.1941e-07,1.5384e-07,1.921e-07,4.7804e-08,9.2404e-10
768.091,2163.45,2036.08,11.5174,2.84121,4.8093e-06,2.5512e-07,8.139e-07,7.8195e-07,2.3837e-08,2.3258e-07,6.5631e-09,3.4002e-07
